Law Firm	CLSIP Participating Cities - will be updated as new employers register. Updated as of 11/25	# of CLSIP Schedules 1 schedule = 22 interview slots .5 schedule = 11 interview slots	CLSIP Interview Date	Class Years Hiring at CLSIP	Lottery allows interviews on multiple schedules at CLSIP	CLSIP Position Description	Career Webpage and/or Direct Application Information	Firm profiles on Vault, Flo Forward, etc.	Firm Size (lawyers)	Total firmwide 2L 2026 summer associates	Number of 2L 2026 summer associates in each office location	Locations Hiring 1Ls for 2026 Summer Program	Locations Hiring 2Ls for 2027 Summer Program (May include offices not participating in CLSIP)	Summer Program Length  (in weeks)	Summer Program Assignment System  (e.g. free market, rotation, hired into practice group)	Return Offers After the 2L Summer (e.g. offer to join a practice group, general offer to return to the firm, with practice group assigned at a later date, rotation) 	Allows split summer w/ govt./public interest orgs.	Offers visa sponsorship	Weekly Summer Associate Salary	Contact/email which students may reach out to if they have any questions about their application/summer program	What makes this firm unique
Seward & Kissel	New York, NY	0.5	1/9	2L - Summer 2027	N/A	We rely heavily on our summer program for our hiring needs. The primary goal of the program is to provide summer associates with a realistic, broad-based view of our practice and an opportunity to become acquainted with our attorneys through a combination of our informal mentoring program, training sessions and social events. Our practice primarily focuses on corporate and litigation work for clients seeking legal expertise in the financial services, corporate finance and capital markets areas. The Firm is particularly well known for its representation of major commercial banks, investment banking firms, investment advisers and related investment funds (including mutual, hedge and private equity funds), broker-dealers, institutional investors and transportation companies (particularly in the shipping area). Summer associates for 2027 will receive salaries of $4,326.92 per week.	sewkis.com/careers-attorneys	Vault:  https://vault.com/company-profiles/law/seward-kissel-llp Chambers: https://chambers.com/law-firm/seward-kissel-llp-usa-5:3652	Around 150	12	New York: 10, DC: 2	N/A	New York	10	Rotational system	General offer to return to the firm with practice group assigned at a later date	No	No	$4,327		
Seyfarth Shaw LLP	New York, NY	0.5	1/9	2L - Summer 2027	N/A	At Seyfarth, we understand that great people are the key to our success, and we provide the opportunities to match. If you join us, you’ll work with state-of-the-art technology in a friendly and professional environment, and we will continue to invest in your professional development. If you’re looking for the freedom to grow at a firm that is invested in your future, keep reading. THE OPPORTUNITY: We have an exciting opportunity for 2Ls to join our 2027 Summer Program as Summer Associates. Our Summer Program offers a strong educational component supported by practical learning opportunities. Summer Associates work closely with Seyfarth partners, who are committed to their professional development. A team of partner and associate mentors provides individualized feedback and coaching. Our program is unique in that Summer Associates are assigned to a specific department for the entire summer. This structure allows for deeper knowledge, insights, and experiences in a particular practice area, better preparing associates for their first year as attorneys and beyond. Despite this focus, Summer Associates will have numerous opportunities to meet and engage with attorneys across departments both office-wide and firm-wide. Please specify preferred practice group(s) during the interview: Corporate, Employee Benefits, Labor & Employment, Litigation, and/or Real Estate THE DAY-TO-DAY: As a Summer Associate, you will work alongside our attorneys on real client matters. A specialized curriculum tailored to your specific department will bridge the gap between academic learning and practical experience. Summer Associates will: • Work on actual client cases and projects • Attend client meetings • Shadow attorneys on a variety of deals and cases for hands-on learning YOU HAVE: • Completed one year of law school (expecting a JD in May 2027) • Demonstrated academic achievement • An appreciation for collaboration and teamwork • A clear interest in a specific practice area, evidenced by coursework, certificate programs, or prior work experience WHAT WE PROVIDE: Our Summer Associates gain hands-on experience that builds upon their law school education through: • A specialized training curriculum, including substantive legal seminars • Training in ethics, client service, marketing, legal writing, communication, and finance taught by leading practitioners • Practical learning opportunities, such as attending depositions, court appearances, closings, and client meetings • Cutting-edge legal work on active cases and client projects COMPENSATION: Compensation for this position is based on an annualized salary of $225,000. MORE ABOUT SEYFARTH: With more than 900 lawyers across 17 offices, Seyfarth Shaw LLP provides advisory, litigation, and transactional legal services to clients worldwide. Learn more about The Seyfarth Experience at www.seyfarth.com/careers/.	Seyfarth Shaw LLP		900	25	Atlanta 5, Boston 2, Charlotte 1, Chicago 4, Los Angeles Century City 3, Los Angeles Downtown 1, New York 5, San Francisco 1, Seattle 3	N/A	Atlanta, Boston, Charlotte, Chicago, Los Angeles, New York, San Francisco, and Seattle	10	Hired into Practice Group	Hired into Practice Group	No	No	$4,327		
Sidley Austin LLP	Not participating	Not participating	N/A	N/A	N/A		www.sidleycareers.com	Flo Forward: https://florecruit.com/v2/app/forward/firms/sidley   Vault: https://vault.com/company-profiles/law/sidley-austin-llp 	2,300	160	Boston: 8, Chicago: 54, Dallas: 15, DC: 13, Houston: 6, Los Angeles: 10, Miami: 7, New York: 32, Palo Alto: 6, San Diego: 2, San Francisco: 8	Boston, Chicago, Dallas, Houston, Miami, New York, Palo Alto, San Francisco	Boston, Chicago, Dallas, DC, Houston, Los Angeles, Miami, New York, Palo Alto, San Diego, San Francisco	10	Varies by office.	Varies by office location	Varies by office location	Case-by-case basis	$4,400	Name: Katrina Heinig (New York), Email: kheinig@sidley.com Name: Lauryn Bronstein (Boston), Email: lbronstein@sidley.com Name: Olivia Schmit (Chicago), Email: CHLegalRecruiting@sidley.com Name: Kate Robinson (Dallas), Email: kate.robinson@sidley.com Name: Ellie Tamplain (Houston), Email: ellie.tamplain@sidley.com Name: Susan McGrady (Greater Los Angeles/San Diego), Email: smcgrady@sidley.com Name: Taylor Baker (Miami), Email: taylor.baker@sidley.com Name: Lauren Johnston (Palo Alto/San Francisco), Email: lauren.johnston@sidley.com Name: Sarah Bergen (DC), Email: sbergen@sidley.com	Sidley is an elite global law firm. With 2,300 lawyers, annual revenue of US $3.4 billion, and experience that spans almost 160 years, we have established a reputation using Built to Win℠ legal strategies in successfully representing clients in more than 70 countries on complex transactional, restructuring, investigation, regulatory, and litigation matters.   With 21 offices strategically situated in key commercial and financial hubs across the world, our perspective and our reach are truly global. Our lawyers and business professionals, fluent in more than 80 languages, possess the cultural awareness and cross-border legal acumen needed to bring clarity to a dynamic business landscape.   The firm strives to maintain an environment focused on teamwork and cooperation, and values the skills and knowledge that each individual brings to a project. Our lawyers and professional staff collaborate at all levels and treat each other with genuine respect. We believe our culture sets us apart from many other firms and enhances the experience, development and career satisfaction of our lawyers and staff alike.
Simpson Thacher	Asia - Beijing, Hong Kong, Tokyo, Bay Area, CA, Houston, TX, Los Angeles, CA, New York, NY, Washington, DC	Asia - 0.5 Bay Area - 0.5 Houston - 0.5 LA - 0.5 NY - 2 DC - 0.5	1/7 (evening) - Asia 1/8 - US offices	1L - Summer 2026 (except Asia) 2L - Summer 2027	No	Simpson Thacher 2026 1L (except Asia) and 2027 2L Summer Program. The goal of the summer program at Simpson Thacher is to introduce students to life at the Firm—our practice, our people and our culture. Our summer program provides law students with a wide range of opportunities to experience the breadth of the Firm’s practice and meet and engage with our attorneys over the course of ten weeks. All applicants will be considered for the 2027 2L Summer Program. Applicants may choose to also be considered for the 2026 1L Summer Program.	https://www.stblaw.com/your-career	Vault: https://vault.com/company-profiles/law/simpson-thacher-bartlett-llp 	1,500-2,000	264	Bay Area: 15, Boston: 9, DC: 12, Houston: 19, Los Angeles: 18, New York: 190	Boston, DC, Houston, Los Angeles, New York, Palo Alto	Boston, DC, Houston, Los Angeles, New York, Palo Alto	10	Summer associates are assigned to active matters and work alongside partners and associates to obtain meaningful exposure to the Firm’s work and clients. Each summer associate is part of an assigning group overseen by two mid-level associates. The associates’ role is to source work and to provide guidance throughout the program. We encourage summer associates to try different practice areas, and to that end, our assigning attorneys make every effort to offer assignments based on summer associates’ expressed practice interests.	Directly into a practice group	Varies by office location	The firm will sponsor applicants for employment visa status outside the H-1B visa category (e.g., TN, E-3)	$4,326	Name: Recruiting Department, Email: stbrecruiting@stblaw.com	The goal of the summer program is to introduce students to life at Simpson Thacher—our practice, our people and our culture. Our summer program provides law students with a wide range of opportunities to experience the breadth of the Firm’s practice, meet and engage with our attorneys and experience the culture of the city.
Skadden Arps	Hong Kong, New York, NY, Tokyo	NY - 1 Hong Kong - 0.5 Tokyo - 0.5	1/8 (evening) - Hong Kong and Tokyo 1/9 -  New York	2L - Summer 2027	No	Please visit skadden.com/recruiting for more information.	skadden.com/recruiting	Flo Forward: https://florecruit.com/v2/app/forward/firms/skadden 	1,300	147	Boston: 5, Chicago:13, DC:14, Houston:8, LA:7, London: 5, New York: 77, Palo Alto: 10, Toronto: 2, Wilmington: 6	TBD	TBD	10	Our Summer Program utilizes both formal and informal methods for work assignments. Each Summer receives an initial assignment from their partner mentor, after which they may either submit formal requests for additional assignments through the Attorney Recruiting team or pursue opportunities informally through liaisons, networking, and other connections.	We ask Summers to rank their top four groups before leaving the program. They receive an offer at the end of the summer to the firm generally, and then are placed into one of their top four groups to the best of our ability.	No	Case-by-case basis	$4,326.92	Name: Alyssa Schmidt, Email: alyssa.schmidt@skadden.com	Skadden is a place to carve your path. Known for our innovative approach, Skadden attorneys work on the world's most complex matters, the types of deals and cases that earn headlines, move markets, and shape the law. Collaboration across our offices enable us to provide unparalleled service to our clients. Our attorneys, spread among 21 interconnected offices around the world, are engaged in more than 50 practice areas, many of which are specialized.
Squire Patton Boggs	Not participating	Not participating	N/A	N/A	N/A		https://www.squirepattonboggs.com/en		1,500 (globally)	25	Atlanta: 2, Cincinnati: 3, Cleveland: 7, Columbus: 3, Dallas: 1, DC: 6, Los Angeles: 1, New York: 1, Phoenix: 1	Cincinnati, Cleveland, Columbus, DC, Miami, New York, Phoenix	Atlanta, Cincinnati (TBD), Cleveland, Columbus, DC, Los Angeles, Miami, New York, Phoenix	9	Free Market	Varies by office location	Varies by office location	Case-by-case basis	Not provided	Name: Jane Weldy, Email: jane.weldy@squirepb.com	As a full-service global law firm, we provide insight at the point where law, business and government meet, giving our clients a voice, supporting their ambitions and achieving successful outcomes.  Our multidisciplinary team of more than 1,500 lawyers over 40 offices across four continents provides unrivalled access to expertise and invaluable connections on the ground. It is a seamless service that operates on any scale – locally or globally. It encompasses virtually every matter, jurisdiction and market.   And we place our clients at the center.  We combine sound legal counsel with a deep knowledge of our clients’ businesses to resolve their legal challenges. We care about the quality of our services, the success of our clients and the relationships that are forged through those successes.
Steptoe	Not participating	Not participating	N/A	N/A	N/A		https://www.steptoe.com/en/careers/law-students-clerks/summer-associate-program/index.html	Vault: https://vault.com/company-profiles/law/steptoe-johnson-llp 	Approximately 450	15	Chicago 1, DC: 11, New York 3	N/A	Chicago, DC, New York	10	Recruit by practice group interest	It's expected for summers to return to the practice group they were aligned in the summers but there's flexibility and by firm needs closer to start date	No	No	$4,326.92	Name: Diana Yee, Email: dyee@steptoe.com	Headquartered in WaDC, D.C., Steptoe offers the close-knit culture of a mid-size firm with the resources and reach of a global practice. From the start, our summer associates will take on meaningful responsibilities such as drafting briefs, meeting with clients, and working directly with partners in small, collaborative teams. This hands-on approach is central to our reputation for training exceptional trial lawyers.   In recent years, our New York and Chicago offices have recruited for Litigation and Intellectual Property, while our WaDC, D.C., office has recruited for Litigation, White Collar, Energy, Government Affairs & Public Policy, International Trade, and Intellectual Property. Specific practice areas may vary from year to year based on hiring needs.  With a small summer classes, our summer associates will receive individualized mentorship, substantive assignments, and the chance to contribute to high-profile matters. We also have a strong pro bono tradition, allowing attorneys to make an impact while developing valuable skills.  At Steptoe, you won’t just observe, you’ll be part of the team from day one, building the experience, confidence, and connections to launch a successful career.
Sterne Kessler	Washington, DC	0.5	1/9	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027. About Sterne Kessler: Sterne, Kessler, Goldstein & Fox is one of the most highly regarded intellectual property specialty law firms dedicated to the protection, transfer and enforcement of IP rights for its clients. Based in Washington, D.C., we are a full-service IP firm offering patent litigation, patent preparation and prosecution of design and utility patents, and trademark and brand protection. Our firm culture is what sets us apart in the industry. It is the talent and dynamism of each individual that contributes to our shared success. We have cultivated an environment that is welcoming, inclusive, and intellectually stimulating with just the right touch of fun and exuberance. We will review and consider applications from students enrolled in an ABA-accredited law school juris doctor program expecting to graduate in May 2028 for our 2026 and 2027 Summer Programs. As a Summer Associate, you will belong to one of the following practice groups: Biotechnology & Chemical; Electronics; Mechanical & Design; or Trial & Appellate. Please apply to each practice group for which you would like to be considered. What to Expect: •        The 2026 Summer Program will be held in-person in our Washington, DC office from May 18 – July 24, 2026. •        The 2027 Summer Program will be held in-person in our Washington, DC office from May 24 – July 30, 2027. •        Summer associates may work-from-home 1-2 days per week. •        Summer Associates are compensated at a rate of $4,326/week. •        Our summer associates work on matters involving cutting-edge technologies developed by a broad range of innovative individuals and companies. •        Your summer will include relevant work assignments, an informal mid-point and formal end-of-summer evaluation, workshops/trainings, and exposure to our team structure, all designed to reflect what life is like for an attorney at Sterne Kessler. •        Our summers enjoy a number of social events, which allow summer associates to get to know our attorneys on a personal level. Past events have included our firm-wide crab feast, our firm-wide night at the Nationals, other DC sporting events, cooking classes, city and museum tours, and more. Our Practice Groups: We have three technology-focused practice groups and a litigation-focused practice group. Each practice group has its own requirements. Biotechnology & Chemical Group: Requires an advanced degree in Biochemistry, Biology, Biotechnology, Cellular Biology, Developmental Biology, Genetics, Immunology, Microbiology, Molecular Biology, Chemistry, Organic Chemistry, Chemical Engineering, Pharmacology, or equivalent discipline. Industry experience and/or wet lab experience preferred. Patent bar eligibility required. Electronics Group: Requires a degree in Electrical Engineering, Mathematics, Physics, Computer Engineering, Computer Science, or equivalent discipline. Advanced degrees and/or industry experience preferred. Patent bar eligibility required. Mechanical & Design Group: Requires a degree in Aerospace Engineering, Mechanical Engineering, Biomedical Engineering, Material Science or Physics, or an equivalent discipline. Advanced degrees and/or industry experience preferred. Patent bar eligibility required. Trial & Appellate Group: Requires an interest in intellectual property and patent litigation. A STEM undergraduate or advanced degree is preferred, but not required. Patent bar eligibility preferred, but not required.	My Job Search	Flo Forward: Sterne, Kessler, Goldstein & Fox P.L.L.C. Vault: Sterne, Kessler, Goldstein & Fox PLLC | Company Profile - Vault  Chambers: Sterne, Kessler, Goldstein & Fox PLLC, USA 2025 | Chambers Profiles	168	7	DC: 7	Washington, DC	Washington, DC	10	Hired into specific practice group (Biotechnology & Chemical; Electronics, Mechanical & Design, Trial & Appellate)	Offers are given from the group summered with.	Case-by-case basis	Case-by-case basis	$4,326		
Sullivan & Cromwell	Beijing, Brussels, Frankfurt, Hong Kong, London, UK, Los Angeles, CA, Melbourne, New York, NY, Palo Alto, CA, Paris, Sydney, Tokyo, Washington, DC	Beijing, Brussels, Frankfurt, Hong Kong, London, LA, Melbourne, Palo Alto, Paris, Sydney, Tokyo, DC - 1 NY - 3	1/9	2L - Summer 2027	No	For current 1L students interested in spending the summer of 2027 with us for between 8-10 weeks. We are looking for students with exceptional academic records, common sense, excellent communications skills, superior judgement and enthusiasm for our practice and the work that we do. Compensation will be based on an annual rate of $225,000.		Flo Forward: https://florecruit.com/v2/app/forward/firms/sullcrom   Legacy Vault: https://legacy.vault.com/company-profiles/law/sullivan-cromwell-llp 	954	213	DC: 11, Los Angeles 10, New York: 184, Palo Alto 8	N/A	DC, Los Angeles, New York, Palo Alto	10	Free Market	Practice area preferences asked for after offer	Yes	Yes	$4,326.92	Name: Caroline Whelan, Email: whelanc@sullcrom.com	Sullivan & Cromwell LLP provides the highest quality legal advice and representation to clients around the world. For more than 140 years, the results the Firm achieves have set it apart and become a model for the modern practice of law. Today, S&C is a leader in each of its core practice areas and geographic markets. S&C’s success is the result of the quality of its lawyers, the most broadly and deeply trained collection of attorneys in the world. The Firm’s lawyers work as a single partnership without geographic division.     S&C hires the very best law school graduates and trains them to be generalists within broad practice areas, promoting partners almost entirely from among its own associates. The result is a partnership with exceptional professional judgment and a demonstrated history of innovation.     Clients are nearly evenly divided between U.S. and non-U.S. entities, including companies, financial institutions, private funds, governments, and cultural institutions. S&C’s client base is diverse, reflecting the Firm’s capacity to tailor work to specific client needs. The Firm comprises more than 900 lawyers across 13 offices in major financial centers worldwide and is headquartered in New York.
Venable LLP	Baltimore, MD, Los Angeles, CA, New York, NY, New York, NY - Intellectual Property, San Francisco, CA, Tysons Corner, VA, Washington, DC, Washington, DC - Intellectual Property	Baltimore, LA, SF, Tysons Corner, DC, DC IP - 0.5 NY and NY IP - 1	1/8	2L - Summer 2027	No	Venable is seeking talented law students to join our 2027 Summer Associate Program in Baltimore, Los Angeles, New York, San Francisco, Tysons, and Washington, DC. Our program is designed to provide a realistic and immersive experience of life as a junior associate, offering hands-on exposure to corporate and business law, complex litigation, intellectual property, and regulatory and government affairs. As a summer associate, you will work on active matters, collaborate with attorneys across practice areas, and gain valuable insights into our firm’s culture and values. Beyond substantive legal work, the program includes opportunities to build meaningful relationships with peers, engage with firm leadership, and expand your professional network. We seek candidates with strong academic performance in both law school and undergraduate studies, as well as those who demonstrate intellectual curiosity, motivation, and a collaborative mindset. At Venable, we believe that an inclusive legal team drives the best results for our clients. We are committed to fostering a culture of openness, support, and professional growth and welcome applicants from all backgrounds and law schools. Our core values—integrity, collaboration, professionalism, hard work, and client service—guide our hiring and professional development efforts. If you are eager to gain firsthand experience at a top law firm in a dynamic, collegial, and client-focused environment, we encourage you to apply. Venable LLP is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, age, protected Veteran status and any other protected basis under applicable law.	https://www.venable.com/careers		900+	27	Baltimore: 4, DC: 11, Los Angeles: 3, New York: 5, San Francisco: 2, Tyson's Corner: 2	New York	Baltimore, DC, Los Angeles, New York, San Francisco, Tyson's Corner	10	Free Market	Practice area preferences asked for after offer	No	No	$4,134	Name: Elizabeth Bart, Email: EMBart@Venable.com Name: Precious Adeyemo, Email: POAdeyemo@Venable.com	For the more than 1,500 attorneys and business professionals who work at Venable, there is no single answer. When asked, many mention the firm's collegial culture, where partners, associates, and business professionals work side by side to deliver the highest-quality work to our clients. Others cite the pride they take in Venable's distinguished history and how the firm honors tradition while embracing new ideas and methods. Clients point to the skill, dedication, creativity, and superior service that our legal and business professionals provide.  For many, Venable's commitment to the community sets the firm apart. Our attorneys and business professionals give thousands of hours of their time, demonstrating that our dedication to service extends beyond our clients. Through hands-on volunteering, pro bono legal representation and contributions to the Venable Foundation—which provides more than $3 million annually to educational, social services, and artistic organizations across the country—Venable employees strive to make their communities better places to live and work.
Vinson & Elkins	New York, NY	1	1/7	2L - Summer 2027	N/A	As a V&E summer associate and associate, you will find a dynamic, team environment where doors are open, and where lawyers collaborate to provide our clients solutions on their most complex matters. You’ll get ongoing training and development opportunities with hands-on experience early in your career. At each level, you will gain experience on significant matters, working with lawyers who are leaders in their areas of law.  Our long-term success depends on developing and retaining top legal talent from all backgrounds and perspectives. We also encourage our lawyers to give back through pro bono work, and other civic and community opportunities.  Our New York, NY, office hires for our litigation & regulatory, transactional, and tax departments.	https://www.velaw.com/careers/	Flo Forward: https://florecruit.com/v2/app/forward/firms/velaw 	700+	73	Austin: 5, Dallas: 18, DC: 6, Denver: 1, Houston: 27, New York: 14, San Francisco: 2	Austin, Dallas, DC, Denver, Houston, New York, Richmond, San Francisco	Austin, Dallas, DC, Denver, Houston, New York, Richmond, San Francisco	10	Varies by office. It's a Free Market format in the NY office.	Practice area preferences are asked before they receive an offer, but students don't find out their practice group assignment for a few months after receiving an offer	No	Yes	$4,327	Name: Tiffany Daniel, Email: tdaniel@velaw.com Name: Quinn Roche, Email: qroche@velaw.com	Vinson & Elkins stands out as a premier law firm where excellence meets authenticity. With over a century of legal leadership, V&E has built a reputation for delivering innovative solutions to our clients across a wide range of industries: energy, finance, real estate, technology, and more. Our team of over 700 attorneys firm-wide is deeply committed to client service. It’s truly the people at V&E who make the firm so special. The firm fosters a collaborative, inclusive culture where attorneys are not only driven, but also genuinely supportive of one another. V&E prioritizes both the personal and professional growth of our attorneys, offering a robust mentorship program, hands-on experience, and a positive work environment. Vinson & Elkins offers a truly immersive work experience for those interested in contributing meaningful work to the legal field while building lasting connections.
Wachtell, Lipton, Rosen & Katz	New York, NY	3	1/8	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027.	https://www.wlrk.com/careers/summer-associates/	Flo Forward: https://florecruit.com/v2/app/forward/firms/wlrk  Vault: https://vault.com/company-profiles/law/wachtell-lipton-rosen-katz 	250	30	New York: 30	TBD	New York	11	Our summer associates are asked to rank their practice area preferences and are given the opportunity to experience real work in these areas during their summer program rotations. Prior to the start of the summer program, students will hear our attorneys discuss the type of work with which they are typically involved and how they approach working alongside attorneys from other practice areas to best serve the needs of the Firm’s clients. Summer associates rotate through three or four of the Firm’s practice areas based on their expressed interest(s). This system allows them to try different types of assignments while giving them an opportunity to be substantively involved in live, ongoing client work alongside the attorneys. Summer associates have the opportunity to meet and learn from many attorneys with different backgrounds and paths to becoming Wachtell Lipton lawyers. At the end of the summer, offers are extended to summer associates to join the Firm. They may accept in corporate or litigation and the smaller practice areas subject to their needs.	At the end of the summer, offers are extended to summer associates to join the Firm. They may accept in corporate or litigation and the smaller practice areas subject to their needs.	No	Case-by-case basis	$4,425	Name: Elizabeth Breslow, Email: EFBreslow@wlrk.com Name: Shannon Nassi, Email: snassi@wlrk.com	Wachtell Lipton was founded on a handshake in 1965 as a small group of lawyers dedicated to providing advice and expertise at the highest levels.    We have achieved extraordinary results following the distinctive vision of our founders — a cohesive team of lawyers intensely focused on solving clients’ problems.    We have experience in the fields of mergers and acquisitions, strategic investments, takeovers and takeover defense, shareholder activism, corporate and securities law, and corporate governance. We handle some of the largest, most complex, and demanding transactions. We counsel public and private acquirers and targets. We handle sensitive investigation and litigation matters, corporate restructurings, and counsel boards of directors and senior management in critical situations. We create original and groundbreaking solutions and innovations that have dramatically impacted business and law.    Our distinctive structure defines our approach. We maintain a ratio of associates to partners significantly below that of other firms. We work together on a task-force basis on all of our matters, bringing to bear the requisite mix of people and expertise across practice areas. Our structure and approach attract talented and entrepreneurial lawyers who enable us to achieve excellent results for our clients in complex and critical matters.
Weil	Los Angeles, CA, New York, NY, San Francisco, CA, Silicon Valley, CA	LA - 1 NY - 1 SF and Silicon Valley - 1	1/9	1L - Summer 2026 (except NY) 2L - Summer 2027	N/A	Summers participate in active matters and attend client meetings, negotiations, depositions and court hearings to gain a clear view of what it is like to practice law at Weil to help them clarify their choice of future practice area. Weil’s commitment to striking a balance between engaging social activities and substantive professional experience is a key reason we received high marks on two separate summer associate satisfaction surveys in 2024. Weil achieved a top-five ranking in Law360’s annual survey for the second straight year, and The American Lawyer ranked the Firm 11th.   We offer training programs and workshops in taking depositions, legal writing and negotiation, as well as a Speakers Series featuring talks with prominent clients, alumni and firm leaders.	https://careers.weil.com/summer-associate-program#summer-associate-program	Weil: https://bit.ly/stayconnectedwithweil	1200	113	Boston 5, Dallas 7, DC 8, Houston 2, Los Angeles 2, Miami 2, New York 76, San Francisco 2, Silicon Valley 9	Boston, Chicago, DC, Houston, Los Angeles, Miami, Silicon Valley	Boston, Dallas, DC, Houston, Los Angeles, Miami, New York, San Francisco, Silicon Valley	10	NY - Rotation	Varies by office location	No	Case-by-case basis	$4,327	Name: Gloria Gutierrez, Email: gloria.gutierrez	Weil is a preeminent provider of legal services to many of the world's largest and most prominent companies. With 1,200 lawyers on three continents, our work spans four departments, Corporate, Litigation, Restructuring, and Tax, Executive Compensation & Benefits, and more than two dozen practice groups. Weil’s entrepreneurial and inclusive culture makes for a work experience that is professionally rewarding and personally fulfilling.  When you join Weil, you are not just getting a job – you are launching a career. You will work together with Weil colleagues and partner with clients to hone your skills as a business lawyer. In doing so, you will be building skills that can take you in many different professional paths.
White & Case	Washington, DC	0.5	1/8	2L - Summer 2027	N/A	Get ready to make your mark with us. White & Case is seeking motivated and talented law students for our Summer Associate Program. As a summer associate, you will gain hands-on experience working on substantive legal matters, receive mentorship from experienced lawyers and participate in professional development opportunities. You will be welcomed as an integral member of our team from day one, receiving the support and tools you need to thrive. Our ten-week Summer Program is designed to leverage your skills and ambition. You will be exposed to practice areas of interest to you, working side-by-side with our lawyers. Summer associates have the opportunity to explore various practice areas and assignments, including pro bono work. All US summer associates begin the program with the Launch Your Career (LYC) Program in New York City. This comprehensive orientation and training program is tailored to set you up for success, while also offering social events to help you build connections with your class. Each summer associate is paired with a mentor to guide you throughout the summer and beyond. We want you to get to know our people and experience our Firm culture because these are the biggest indicators of what your full-time experience will be like. Each office hosts a variety of social events, providing opportunities to network and connect with fellow summer associates and lawyers in a casual and relaxed setting. If you are a collaborative team player with a global perspective, a drive to succeed and a proactive approach to your career, we want to hear from you.	https://www.whitecase.com/careers/locations/united-states/students/welcome	Vault: https://vault.com/company-profiles/law/white-case-llp   Flo Forward: https://florecruit.com/v2/app/forward/firms/whitecase 	2,500+	72	Boston: 2, Chicago: 5, DC 9, Houston: 7, Los Angeles: 5, Miami: 5, New York: 36, Silicon Valley: 3	Boston, Chicago, DC, Houston, Los Angeles, Miami, Silicon Valley	Boston, Chicago, DC, Houston, Los Angeles, Miami, New York, Silicon Valley	10	Free Market with a dedicated Summer Program staffer. Practices available vary by office.	Varies by office location	Yes	Case-by-case basis	$4,330	Name: Geena Garcia, Email: geena.garcia@whitecase.com Name: Christian Montalvo, Email: christian.montalvo@whitecase.com Name: Anna Springer, Email: anna.springer@whitecase.com	White & Case is a truly global law firm that grew from deep roots in New York. Founded in 1901, we quickly developed into a recognized US leader in corporate and banking law. Today, more than 1,000 lawyers serve clients from our offices in eight US commercial hubs: Boston, Chicago, Houston, Los Angeles, Miami, New York, Silicon Valley and DC.  We built a reputation as an innovator by helping clients achieve their goals, with novel, often award-winning solutions to complex legal matters both within the US and across borders. Our global clients include some of the most noteworthy names in the financial, corporate and government sectors.  People in our US offices speak 70 languages and represent 78 nationalities.  At White & Case our culture comes to life through three core values:  Pioneering We seize opportunities to innovate and grow  United We are one firm with a shared sense of purpose  Human We care about each other and the world around us
Williams & Connelly	Washington, DC	2	1/9	2L - Summer 2027	N/A	Williams & Connolly is one of the world’s premier litigation firms, operating out of a single office in Washington, DC.  Our summer associate program is designed to mirror the experience of our attorneys, with a free-market assignment system that provides early access to substantive, hands-on projects.	https://www.wc.com/Careers/Summer-Associates	Flo Forward:  https://florecruit.com/v2/app/forward/firms/wc		44	Washington, DC: 44		Washington, DC	12	Summer assignment committee	Free Market System	Yes	Case-by-case basis	$4,807	Name: Natasha M. Zech, Email: NZech@wc.com	Williams & Connolly is recognized as one of the world’s premier litigation firms. Our lawyers successfully handle significant civil and criminal matters in courts across the country and forums around the world. We bring a unique blend of talent, tenacity and teamwork to every case we handle in the relentless pursuit of the best possible outcomes for our clients.
